Acheron|(Greek mythology) a river in Hades across which the souls of the dead were carried by Charon
Lake Michigan|the 3rd largest of the Great Lakes; the largest freshwater lake entirely within the United States borders
Lake Nasser|lake in Egypt formed by dams built on the Nile River at Aswan
Lake Malawi|a long lake in southeastern Africa between Tanzania, Mozambique, and Malawi
Lake Onega|lake in northwestern Russia near the border with Finland; second largest lake in Europe
Lake Ontario|the smallest of the Great Lakes
Lake Saint Clair|a lake between Ontario and Michigan; connected with Lake Huron and Lake Erie
Lake Superior|the largest freshwater lake in the world; the deepest of the Great Lakes
Lake Tsana|a lake in northern Ethiopia; the largest lake in Ethiopia and the source of the Blue Nile
Lake Tanganyika|the longest lake in the world in central Africa between Tanzania and Congo in the Great Rift Valley
Lake Urmia|a shallow saline lake in northwestern Iran between Tabriz and the western border of Turkey
Lake Vanern|a lake in southwestern Sweden; the largest lake in Sweden
Victoria Nyanza|the largest lake in Africa and the 2nd largest fresh water lake in the world; a headwaters reservoir for the Nile River
Laptev Sea|part of the Arctic Ocean to the north of Siberia (between the Taimyr Peninsula and the New Siberian Islands) that is icebound most of the year
Magellanic Cloud|the larger of the two Magellanic Clouds visible from the southern hemisphere
Lascaux|a cave in southwestern France that contains Paleolithic paintings
Laurasia|a hypothetical continent that (according to plate tectonic theory) broke up later into North America and Europe and Asia
Lehigh River|a river in eastern Pennsylvania that flows southeast into the Delaware River
Lena River|a Russian river in Siberia; flows northward into the Laptev Sea
Leo|a zodiacal constellation in northern hemisphere between Cancer and Virgo
Lepus|a constellation in the southern hemisphere near Orion and Columba
River Lethe|(Greek mythology) a river in Hades; the souls of the dead had to drink from it, which made them forget all they had done and suffered when they were alive
Liaodong Bandao|a peninsula in northeastern China that extends into the Yellow Sea, between Bo Hai and Korea Bay
Libra|a small faint zodiacal constellation in the southern hemisphere; between Virgo and Scorpius
Ligurian Sea|an arm of the Mediterranean between northwest Italy and Corsica
Crocodile River|an African river; flows into the Indian Ocean
Ursa Minor|a constellation outside the zodiac that rotates around the North Star
Little Bighorn River|a river that flows from northern Wyoming into the Bighorn River in southern Montana; site of Custer's Last Stand
Little Dipper|a cluster of seven stars in Ursa Minor; at the end of the dipper's handle is Polaris
Little Missouri River|a river that rises in northeastern Wyoming and flows through Montana and South Dakota to join the Missouri River in North Dakota
Little Sioux River|a river that rises in southwestern Minnesota and flows southwestward to the Missouri River in western Iowa
Little Wabash River|a river in eastern Illinois that flows southeastward to the Wabash River
Llano Estacado|a large semiarid plateau forming the southern part of the Great Plains
Loch Achray|a lake in central Scotland
Loch Linnhe|an inlet of the Atlantic Ocean on the western coast of Scotland
Loch Ness|a lake in the Scottish highlands; the largest body of fresh water in Great Britain
Mount Logan|a mountain peak in the St. Elias Range in the southwestern Yukon Territory in Canada (19,850 feet high)
Loire River|the longest French river; rises in the Massif Central and flows north and west to the Atlantic Ocean
Loire Valley|the valley of the Loire River where many French wines originated
Long Island Sound|a sound between Long Island and Connecticut
Baja California|a mountainous peninsula on northwest Mexico
Lower Peninsula|the part of Michigan between Lake Michigan and Lake Huron
Lupus|a constellation in the southern hemisphere near Centaurus
Lyra|a small constellation in the northern hemisphere near Cygnus and Draco; contains the star Vega
Mackenzie River|a Canadian river; flows into the Beaufort Sea
Madeira River|a Brazilian river; tributary of the Amazon River
Magdalena River|a river that rises in the Andes mountains in southwestern Colombia and flows generally northward to empty into the Caribbean Sea at Barranquilla
Magellanic Cloud|either of two small galaxies orbiting the Milky Way; visible near the south celestial pole
Sea of Marmara|an inland sea in northwestern Turkey; linked to the Black Sea by the Bosporus and linked to the Aegean by the Dardanelles
Mars|a small reddish planet that is the 4th from the sun and is periodically visible to the naked eye; minerals rich in iron cover its surface and are responsible for its characteristic color; "Mars has two satellites"
Massachusetts Bay|an inlet of the Atlantic Ocean off of eastern Massachusetts extending from Cape Ann on the north to Cape Cod on the south
Massif Central|a mountainous plateau in southern France that covers almost one sixth of the country
Mount McKinley|a mountain in south central Alaska; the highest peak in North America (20,300 feet high)
Mediterranean|the largest inland sea; between Europe and Africa and Asia
Mekong River|an Asian river; flows through a large delta in southern Vietnam into the South China Sea
Menai Strait|a strait in northern Wales between Anglesey Island and the mainland
Great Mendenhall Glacier|a glacier of the Piedmont type near Juneau in Alaska
Mensa|a faint constellation in the polar region of the southern hemisphere and containing part of the Large Magellanic Cloud
Merrimack River|a river that rises in south central New Hampshire and flows through Concord and Manchester into Massachusetts and empties into the Atlantic Ocean
Mesabi Range|a range of hills in northeastern Minnesota where rich iron ore deposits were discovered in 1887
Meuse River|a European river; flows into the North Sea
Microscopium|a faint constellation in the southern hemisphere near Sagittarius and Capricornus
Mid-Atlantic Ridge|a very long narrow elevation on the ocean floor that runs all the way from Iceland in the North Atlantic to Bouvet Island in the South Atlantic
Milk River|a river that rises in the Rockies in northwestern Montana and flows eastward to become a tributary of the Missouri River
Milky Way Galaxy|the galaxy containing the solar system; consists of millions of stars that can be seen as a diffuse band of light stretching across the night sky
Minamata Bay|a bay on the west coast of Kyushu; in the 1950s industrial wastes caused mercury poisoning among the Japanese people who ate fish from Minamata Bay
Mississippi River|a major North American river and the chief river of the United States; rises in northern Minnesota and flows southward into the Gulf of Mexico
Missouri River|the longest river in the United States; arises in Montana and flows southeastward to become a tributary of the Mississippi at Saint Louis; "The Missouri and Mississippi Rivers together form the third longest river in the world"
Mobile River|a river in southwestern Alabama; flows into Mobile Bay
Mobile Bay|a bay of the Gulf of Mexico; fed by the Mobile River
Mohawk River|a river of central New York that flows southeastward to the Hudson River
Mohorovicic discontinuity|the boundary between the Earth's crust and the underlying mantle; "the Mohorovicic discontinuity averages 5 miles down under oceans and 20 miles down under continents"
Monongahela River|a river that rises in northern West Virginia and flows north into Pennsylvania where it joins the Allegheny River at Pittsburgh to form the Ohio River
Monte Bianco|the highest mountain peak in the Alps; on the border between France and Italy to the south of Geneva (15,781 feet high)
Monterey Bay|an inlet of the Pacific Ocean in western California
Moon|the natural satellite of the Earth; "the average distance to the Moon is 384,400 kilometers"; "men first stepped on the moon in 1969"
Moray Firth|an inlet of the North Sea on the northeast coast of Scotland
Moreau River|a river that rises in western South Dakota and flows eastward to the Missouri River
Moreton Bay|an arm of the Tasman Sea forming a bay to the east of Brisbane
Mount Carmel|a mountain range in northwestern Israel near the Mediterranean coast; "according to the Old Testament, Elijah defeated the priests of Baal at Mount Carmel"
